query,page1_url,page2_url,page3_url,page4_url,page5_url,page6_url,page7_url,page8_url
world news,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ new year card design.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ world news.html
world news,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ sleep better.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ world news.html
world news,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ world news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ world news.html
TPP progress,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ apple latest news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ TPP progress.html
TPP progress,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ grow taller.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ TPP progress.html
TPP progress,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Robert Kennedy.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ TPP progress.html
TPP progress,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ ride unicycle.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ TPP progress.html
TPP progress,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ apple latest news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ TPP progress.html
TPP progress,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ Socrates.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ TPP progress.html
TPP progress,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ drawings of flowers.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ TPP progress.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ TPP progress.html
