query,page1_url,page2_url,page3_url,page4_url,page5_url,page6_url,page7_url,page8_url
cvs,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ apple latest news.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ cvs.html
cvs,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ quit smoking.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ cvs.html
cvs,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Star Wars.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ cvs.html
cvs,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ iraq war.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ cvs.html
cvs,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ sleep better.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ cvs.html
cvs,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ quit smoking.html
cvs,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ ride unicycle.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ cvs.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ cvs.html
Bumblebee,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ cvs.html
Bumblebee,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ new year card design.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ Bumblebee.html
Bumblebee,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ grow taller.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Bumblebee.html
Bumblebee,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ recover eyesight.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Bumblebee.html
Bumblebee,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ full house.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Bumblebee.html
Bumblebee,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ obesity prevention.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Bumblebee.html
Bumblebee,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ obama update.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Bumblebee.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Bumblebee.html
Tony Allen,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ Santa Claus.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ Tony Allen.html
Tony Allen,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ iraq war.html
Tony Allen,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ digital art.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Tony Allen.html
Tony Allen,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ happy birthday graphics.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Tony Allen.html
Tony Allen,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ speak French.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Tony Allen.html
Tony Allen,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ full house.html
Tony Allen,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ mlb scores.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Tony Allen.html
wallpaper,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ Tony Allen.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ wallpaper.html
wallpaper,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/NoChangeVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ warner brothers.html
wallpaper,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ Opera.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ wallpaper.html
wallpaper,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ grow taller.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ wallpaper.html
wallpaper,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ Santa Claus.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ wallpaper.html
wallpaper,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/CohensionAndRelevanceVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ hair growth.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ wallpaper.html
wallpaper,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/DiversityVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ moody blues.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/RelevanceAndVerticalVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/SearsiaVersion/University of Twente - Search_ wallpaper.html,http://www.cs.nott.ac.uk/~pszkz/composite/EvaluationPage/OrganicVersion/University of Twente - Search_ wallpaper.html
